,Greetings,Lost Phone,Buy Phone,Password/Username Forgotten,Bonus Program,Technical Problems,Webmail,Roaming
0,[0.07380003482103348],"[0.16362836956977844, 0.0343804806470871]","[0.07968196272850037, 0.0963999405503273, 0.04517786577343941]","[0.09912686049938202, 0.10418430715799332]","[0.09266635775566101, 0.07843175530433655]","[0.13423879444599152, 0.1441519558429718]","[0.07537023723125458, 0.08956605195999146]","[0.08210069686174393, 0.10722199827432632]"
1,[0.5006265044212341],"[0.07317627966403961, 0.07544638216495514]","[0.01600617729127407, 0.028432205319404602, -0.00970783643424511]","[0.13604173064231873, 0.06953363865613937]","[0.05956565961241722, -0.02714145928621292]","[0.014473138377070427, 0.09002431482076645]","[0.01605978235602379, 0.1019834578037262]","[0.0007688049226999283, 0.013631977140903473]"
2,[0.018271733075380325],"[0.12194384634494781, 0.18879187107086182]","[0.05243571102619171, 0.06970436871051788, 0.06520748883485794]","[0.11361781507730484, 0.07542550563812256]","[0.09942658990621567, 0.07085394859313965]","[0.08274126797914505, 0.0618596225976944]","[0.1441013067960739, 0.0808366909623146]","[0.09505550563335419, 0.09272345155477524]"
3,[0.05555010959506035],"[0.459223210811615, 0.20267832279205322]","[0.24815259873867035, 0.061821337789297104, 0.07409634441137314]","[0.09936133772134781, 0.07571779191493988]","[0.10283980518579483, 0.14153945446014404]","[0.21172578632831573, 0.05317811667919159]","[0.10160128772258759, 0.17272603511810303]","[0.13163509964942932, 0.12107736617326736]"
4,[0.007633090019226074],"[0.3998199999332428, 0.2806054949760437]","[0.3621407449245453, 0.10366082191467285, 0.10695435106754303]","[0.11009363830089569, 0.07700859010219574]","[0.1361577808856964, 0.12050805240869522]","[0.32352256774902344, 0.09122124314308167]","[0.13129238784313202, 0.13114455342292786]","[0.12885217368602753, 0.14904382824897766]"
"test",[0.04037631303071976],"[0.3127340078353882, 0.10029963403940201]","[0.1551269143819809, 0.07709289342164993, 0.1243995949625969]","[0.09106757491827011, 0.18890380859375]","[0.1131577268242836, 0.11288260668516159]","[0.1635039746761322, 0.056414611637592316]","[0.07046304643154144, 0.07680120319128036]","[0.08589105308055878, 0.10628771781921387]"
6,[-0.05900075286626816],"[0.4029969871044159, 0.0658724308013916]","[0.16232022643089294, 0.02316294237971306, 0.06509518623352051]","[0.16273567080497742, 0.061016444116830826]","[0.08316788077354431, 0.03273370862007141]","[0.10027386248111725, 0.07545292377471924]","[0.11079595983028412, 0.1208944320678711]","[0.10385996848344803, 0.10957913100719452]"
7,[0.0029663369059562683],"[0.4077502489089966, 0.20809444785118103]","[0.24088454246520996, 0.14837375283241272, 0.06126312166452408]","[0.11481712013483047, 0.16609172523021698]","[0.1337355226278305, 0.17609450221061707]","[0.23564817011356354, 0.10904422402381897]","[0.12860988080501556, 0.16851766407489777]","[0.12379608303308487, 0.12320517003536224]"
8,[-0.001752179116010666],"[0.4291568100452423, 0.1523818075656891]","[0.26076483726501465, 0.08952270448207855, 0.09557800740003586]","[0.09402556717395782, 0.0923154428601265]","[0.11064012348651886, 0.08380082249641418]","[0.24616578221321106, 0.062143564224243164]","[0.07807888090610504, 0.1534791886806488]","[0.0997900441288948, 0.08291791379451752]"
9,[0.06439849734306335],"[0.3221080005168915, 0.18734261393547058]","[0.35279473662376404, 0.11804274469614029, 0.09254886209964752]","[0.0792316347360611, 0.060064803808927536]","[0.12053778022527695, 0.09063157439231873]","[0.20195038616657257, 0.001315731555223465]","[0.029321476817131042, 0.1406065821647644]","[0.09317053854465485, 0.09048110246658325]"
